10.1.1.3.2416	2003	Resource Discovery In Large Resource-Sharing Environments
R1	10.1.1.12.6173	Free Riding on Gnutella
R1	10.1.1.12.2253	Web Caching and Zipf-like Distributions: Evidence and Implications
R1	10.1.1.114.2815	The physiology of the grid: An open grid services architecture for distributed systems integration
R1	10.1.1.140.3129	A Scalable Content-Addressable Network
R1	10.1.1.105.3673	Chord: A Scalable Peer-to-Peer Lookup Service for Internet Applications
R1	10.1.1.153.5656	Summary cache: A scalable wide-area web cache sharing protocol
R1	10.1.1.139.1580	Mapping the Gnutella network: Properties of large-scale peer-to-peer systems and implications for system design
R1	10.1.1.10.4919	Freenet: A Distributed Anonymous Information Storage and Retrieval System
R1	10.1.1.115.4299	Oceanstore: An architecture for global-scale persistent storage
R1	10.1.1.38.1850	Accessing Nearby Copies of Replicated Objects in a Distributed Environment
R1	10.1.1.129.8850	The Anatomy of the Grid: Enabling Scalable Virtual Organizations
R1	10.1.1.117.7097	The Small-World Phenomenon: An Algorithmic Perspective
R1	10.1.1.142.752	Pastry: Scalable, decentralized object location, and routing for large-scale peer-to-peer systems
R1	10.1.1.111.1818	Tapestry: An infrastructure for fault-tolerant wide-area location and routing
R1	10.1.1.37.234	On Power-Law Relationships of the Internet Topology
R1	10.1.1.18.2720	Data Clustering: A Review
R1	10.1.1.105.9822	The Ninja architecture for robust Internet-scale systems and services
R1	10.1.1.22.741	Grid Information Services for Distributed Resource Sharing
R1	10.1.1.242.4753	Statistical mechanics of complex networks
R1	10.1.1.127.1080	Evolution of networks
R1	10.1.1.117.2682	A Random Graph Model for Massive Graphs
R1	10.1.1.32.9451	A Better Model for Generating Test Networks
R1	10.1.1.122.7284	The structure and function of complex networks
R1	10.1.1.20.5411	A Gossip-Style Failure Detection Service
R1	10.1.1.31.3763	Scale-free characteristics of random networks: The topology of the world-wide web
R1	10.1.1.12.7728	Efficient Content Location Using Interest-Based Locality in Peer-to-Peer Systems
R1	10.1.1.305.730	Changes in web client access patterns: Characteristics and caching implications
R1	10.1.1.17.5786	On Maximum Clique Problems In Very Large Graphs
R1	10.1.1.58.2706	The Small World of Human Language
R1	10.1.1.13.8970	Deconstructing the Kazaa Network
R1	10.1.1.198.3406	Random graph models of social networks
R1	10.1.1.21.838	ReferralWeb: Combining Social Networks and Collaborative Filtering
R1	10.1.1.16.909	Improving Data Availability through Dynamic Model-Driven Replication in Large Peer-to-Peer Communities
R1	10.1.1.113.392	Locating data in (small-world?) peer-to-peer scientific collaborations
R1	10.1.1.239.9869	Books in graphs
R1	10.1.1.161.2027	Applying Chimera virtual data concepts to cluster finding
R1	10.1.1.21.1251	Matchmaking: Distributed Resource Management for High Throughput Computing
R1	10.1.1.15.3093	Peer-to-Peer Membership Management for Gossip-Based Protocols
R1	10.1.1.13.1523	Understanding Availability
R1	10.1.1.12.2344	Taming aggressive replication in the Pangaea wide-area file system
R1	10.1.1.118.6934	Sharp: An architecture for secure resource peering
R1	10.1.1.135.3823	Giggle: A Framework for Constructing Scalable Replica Location Services
R1	10.1.1.113.3199	Scheduling Distributed Applications: The SimGrid Simulation Framework
R1	10.1.1.132.970	Search and replication in unstructured peer-to-peer networks
R1	10.1.1.49.3547	An Architecture for A Wide Area Distributed System
R1	10.1.1.16.6451	A Peer-to-Peer Approach to Resource Location in Grid Environments
R1	10.1.1.12.4892	Associative Search in Peer to Peer Networks: Harnessing Latent Semantics
R1	10.1.1.129.9893	An International Virtual-Data Grid Laboratory for Data Intensive Science
R1	10.1.1.12.1493	Solving Large Quadratic Assignment Problems on Computational Grids
R1	10.1.1.23.9612	Reliable Probabilistic Communication in Large-Scale Information Dissemination Systems
R1	10.1.1.15.2698	Probabilistic Reliable Dissemination in Large-Scale Systems
R1	10.1.1.4.6294	Friendships that last: Peer lifespan and its role in P2P protocols
R1	10.1.1.331.3105	Group membership in the epidemic style
R1	10.1.1.35.5671	Scalable Naming in Global Middleware
R1	10.1.1.14.1112	Cactus Application: Performance Predictions in Grid Environments
R1	10.1.1.20.7492	Design and Evaluation of Dynamic Replication Strategies
R1	10.1.1.19.9873	Replication Strategies in Unstructured Peer-to-Peer Networks
R1	10.1.1.12.4890	Data-Sharing Relationships in the Web
R1	10.1.1.115.2120	Using epidemic techniques for building ultra-scalable reliable communication systems
